Lemma#PoS	AFRAID	AMUSED	ANGRY	ANNOYED	DONT_CARE	HAPPY	INSPIRED	SAD
0#n	0.091040449	0.101889368	0.167116461	0.065455893	0.135220504	0.291063671	0.064974737	0.083238917
1#n	0.121636905	0.116172549	0.118002753	0.119130569	0.13883705	0.164304729	0.105911187	0.116004259
10#n	0.131860111	0.118659319	0.121393261	0.111911272	0.138484847	0.143611016	0.106802784	0.127277389
100#n	0.170863303	0.128192539	0.104131795	0.093902636	0.107457325	0.117810557	0.106983404	0.170658442
1000#n	0.147027334	0.142150539	0.07638187	0.065646862	0.060772247	0.155713172	0.094968819	0.257339157
10000#n	0.094632855	0.172658622	0.011131484	0.003737293	0.586477761	0.046654602	0.009550914	0.07515647
1000th#a	0	0.336853157	0	0	0	0.413456312	0.24969053	0
100th#a	0.320738407	0.146574328	0.118701618	0.081067373	0.027685206	0.114831167	0.120824772	0.069577129
101st#a	0	0	0	0	0	1	0	0
10th#a	0.096738339	0.064845042	0.122668246	0.099642699	0.12364605	0.18620568	0.097121648	0.209132296
11#n	0.177897206	0.096849489	0.113096496	0.099719965	0.122297037	0.137492375	0.092261174	0.160386259
110th#a	0	0	0	0	0.841477176	0.113820581	0	0.044702244
115th#a	0.099842522	0.043501782	0.075163439	0.031544285	0.086844092	0.553967338	0.032245454	0.076891088
11th#a	0.104772518	0.096564323	0.110021763	0.139172825	0.155789592	0.159299637	0.114702262	0.11967708
12#n	0.128104945	0.113074782	0.128914229	0.135941586	0.126543123	0.147443887	0.09117946	0.128797988
120#n	0.139766885	0.068872813	0.132692235	0.148781942	0.100386398	0.134018729	0.0929687	0.182512298
120th#a	0	0.596134334	0	0	0	0.182925036	0.220940631	0
12th#a	0.081231724	0.093718282	0.120536835	0.195558353	0.130100878	0.167340059	0.101080069	0.1104338
13#n	0.117910932	0.114334978	0.145873304	0.140896825	0.123826558	0.139509564	0.084954845	0.132692995
13th#a	0.119130027	0.118748263	0.065316087	0.163622375	0.165593002	0.158735116	0.104351548	0.104503582
14#n	0.118779276	0.114322234	0.124768758	0.120012059	0.140301466	0.148691874	0.097289158	0.135835175
144#n	0.220330353	0.026865338	0.09283717	0.196366084	0.089386984	0.102001846	0.10886201	0.163350214
14th#a	0.075327337	0.071715335	0.143336315	0.130565499	0.177195004	0.178217972	0.103292994	0.120349543
15#n	0.153667121	0.106859497	0.129873696	0.114931783	0.116198829	0.141770415	0.086516718	0.150181941
150th#a	0	0	0.664956221	0	0	0	0	0.335043779
15th#a	0.073514429	0.09997681	0.160994638	0.146957167	0.153771367	0.151227864	0.134384281	0.079173445
16#n	0.129045657	0.121887658	0.129866616	0.114223778	0.143428203	0.145154694	0.085414911	0.130978484
16th#a	0.079148413	0.148971549	0.115399158	0.150740244	0.138293228	0.165664966	0.093532734	0.108249707
17#n	0.139306097	0.116387426	0.143710286	0.106345147	0.112503798	0.162393922	0.086610679	0.132742644
1728#n	0.102358984	0	0.089900862	0	0.207743522	0.237207588	0.231407252	0.131381793
17th#a	0.063304272	0.101333583	0.054390818	0.138408401	0.174564821	0.165100926	0.108595259	0.194301919
18#n	0.121125406	0.107514584	0.123394744	0.103261712	0.136209089	0.158883108	0.108108489	0.141502868
1820s#n	0	0	0	0	0	1	0	0
1840s#n	0	0	0	0	0.54572461	0.251646316	0.202629074	0
1850s#n	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125
1860s#n	0	1	0	0	0	0	0	0
1870s#n	0.226801401	0.027792638	0.202754476	0.111962066	0.197274281	0.058750013	0	0.174665125
1880s#n	0	0.190899711	0.012686199	0.07453729	0.029315354	0.137432919	0.555128526	0
1890s#n	0	0	0	0	0.460225921	0.208059688	0.331714391	0
18th#a	0.120997741	0.14133459	0.071742246	0.105204901	0.128347717	0.193696469	0.111117595	0.127558742
19#n	0.119974721	0.109586304	0.127803106	0.112061774	0.129856458	0.161476169	0.09304904	0.146192428
1900s#n	0.026253928	0.154425696	0.105410559	0.024884029	0.011417974	0.27202982	0.274155982	0.131422013
1920s#n	0.036627539	0.29523713	0.040734231	0.098889016	0.205635522	0.105730233	0.187656426	0.029489904
1930s#n	0.121903863	0.107837507	0.18020616	0.136784311	0.067475725	0.106678721	0.137438676	0.141675038
1940s#n	0.054375309	0.140326798	0.106666682	0.066735191	0.283777346	0.112122631	0.142178342	0.093817701
1950s#n	0.076793236	0.22677846	0.036742406	0.069227815	0.169215462	0.077435983	0.177688141	0.166118498
1960s#n	0.053643901	0.174751085	0.144777347	0.081464708	0.148845522	0.097682774	0.143913022	0.154921641
1970s#n	0.146336756	0.108724885	0.128880161	0.100109316	0.101103546	0.102279183	0.142174724	0.170391429
1980s#n	0.052705445	0.154027927	0.137683478	0.11617877	0.143340971	0.098375563	0.133037648	0.164650197
1990s#n	0.134561351	0.129502797	0.115010302	0.088081158	0.118118483	0.113307968	0.110479347	0.190938593
19th#a	0.044955649	0.204245559	0.054313372	0.073765553	0.206393958	0.177816327	0.131783503	0.106726078
1st#a	0.103186898	0.112592955	0.091004977	0.154363338	0.163165547	0.168605395	0.11281395	0.09426694
2#n	0.130510226	0.106092573	0.132838994	0.110564952	0.145413158	0.153860162	0.097168601	0.123551336
20#n	0.124380175	0.120948053	0.119098114	0.101857285	0.129875527	0.148953165	0.09959662	0.155291062
200th#a	0	0	0	0	0.792075898	0.060874105	0.147049998	0
20th#a	0.153510671	0.17082106	0.054849269	0.072552461	0.134493673	0.142048199	0.137317924	0.134406744
21#n	0.118412983	0.121970094	0.112327468	0.111482508	0.135104521	0.156158534	0.10376341	0.140780482
21st#a	0	0	0	0.073158811	0.503531031	0.075848692	0.302879217	0.044582249
22#n	0.112255883	0.116984154	0.136837313	0.129095219	0.129848429	0.158396392	0.101638395	0.114944215
22nd#a	0.031820178	0.207597819	0.056104813	0.120110234	0.073563964	0.209577849	0.135490765	0.165734378
23#n	0.098110393	0.118004528	0.136261647	0.113171326	0.142944281	0.172414341	0.098515504	0.12057798
23rd#a	0.145740822	0.135043021	0.068207149	0.077049322	0.130992488	0.180041949	0.14638432	0.116540929
24#n	0.136858908	0.117045678	0.108022844	0.118622958	0.125636575	0.157398573	0.106973788	0.129440676
24th#a	0.128050451	0.081980212	0.072422155	0.105888197	0.175025164	0.192904769	0.169642258	0.074086795
25#n	0.129627694	0.120831722	0.114216633	0.125317743	0.128514894	0.150457293	0.100503905	0.130530115
25th#a	0.033129555	0.152909727	0.09183632	0.112652922	0.203668741	0.176571833	0.151608245	0.077622657
26#n	0.139671165	0.116917711	0.131737087	0.102902657	0.121376536	0.130145871	0.09324477	0.164004204
26th#a	0.111976908	0.104821314	0.087059312	0.043565955	0.237754931	0.178212991	0.120811251	0.115797338
27#n	0.148430128	0.107247122	0.135859259	0.118801551	0.112680213	0.134111841	0.093585787	0.1492841
27th#a	0.052294928	0.083283496	0.158832194	0.121351829	0.154890013	0.15701091	0.116623765	0.155712866
28#n	0.113847506	0.113700495	0.119863944	0.121552677	0.144431305	0.152942959	0.105141371	0.128519743
28th#a	0.051807428	0.233076266	0.111789651	0.056717227	0.05659031	0.178799819	0.13794081	0.173278489
29#n	0.138922561	0.137444513	0.12011077	0.114388714	0.134090662	0.149180187	0.083798818	0.122063774
29th#a	0.011286093	0.17029717	0.065958861	0.064933868	0.151901513	0.229195918	0.160955177	0.1454714
2d#a	0.073708263	0.241348958	0.055489049	0.098795104	0.08548298	0.225161486	0.130567104	0.089447056
2nd#a	0.113780339	0.10511857	0.122770743	0.154720057	0.132182306	0.173845133	0.096991831	0.100591021
3#n	0.121976675	0.117320302	0.12800583	0.130462669	0.130875934	0.143992047	0.110560105	0.116806439
3-d#n	0	0.381028726	0.111413197	0.002833784	0.259404784	0.158890523	0.057935472	0.028493514
3-dimensional#a	0	0.039457631	0	0	0.492316341	0.301177904	0.106023092	0.061025032
30#n	0.160171784	0.112567422	0.124026486	0.113755203	0.118839316	0.131987657	0.094376612	0.144275519
