Lemma#PoS	AFRAID	AMUSED	ANGRY	ANNOYED	DONT_CARE	HAPPY	INSPIRED	SAD
0#n	0.087696832	0.092489284	0.154123673	0.077187786	0.136462352	0.287110508	0.084151587	0.080777978
1#n	0.129417618	0.108453686	0.114673931	0.114567889	0.136146642	0.161293504	0.114729221	0.120717508
10#n	0.13055789	0.109739453	0.115716327	0.109559403	0.151769147	0.140957108	0.111358933	0.130341739
100#n	0.156990048	0.126364695	0.102937362	0.087751332	0.121394833	0.109794927	0.118774226	0.175992576
1000#n	0.133132657	0.186631367	0.09667537	0.060371283	0.051485705	0.151349978	0.120990281	0.199363358
10000#n	0.079638804	0.114054835	0.016001484	0.005295591	0.643330287	0.050498329	0.01604835	0.075132321
1000th#a	0	0.291219763	0	0	0	0.437545392	0.271234845	0
100th#a	0.308124003	0.115666104	0.10062127	0.102880967	0.037436051	0.118386261	0.150157491	0.066727853
101st#a	0	0	0	0	0	1	0	0
10th#a	0.092306355	0.066442505	0.122700603	0.086612981	0.109534131	0.181412574	0.101311588	0.239679263
11#n	0.180346727	0.094038912	0.114482436	0.101374958	0.117257535	0.132364422	0.09696981	0.1631652
110th#a	0	0	0	0	0.857859405	0.10243729	0	0.039703305
115th#a	0.095783812	0.043245565	0.08032044	0.033226932	0.082486044	0.549403045	0.040277844	0.075256317
11th#a	0.10241757	0.123677503	0.090566924	0.130364607	0.167511589	0.161855689	0.116178727	0.10742739
12#n	0.130229465	0.106831541	0.124114467	0.142246964	0.122798725	0.140741416	0.102764114	0.130273309
120#n	0.137942609	0.059508871	0.133293572	0.156162791	0.100507354	0.125719192	0.099549368	0.187316243
120th#a	0	0.564393203	0	0	0	0.172775901	0.262830897	0
12th#a	0.081283819	0.105453581	0.105266237	0.220673723	0.119434452	0.145780565	0.103076481	0.119031142
13#n	0.113829701	0.113066922	0.147605628	0.139965629	0.127600582	0.135690436	0.088117688	0.134123414
13th#a	0.084567742	0.103623781	0.054698468	0.142401232	0.169072318	0.211763638	0.122687019	0.111185802
14#n	0.109144317	0.113041613	0.123923682	0.120082327	0.145045644	0.142700073	0.104222907	0.141839437
144#n	0.210856042	0.034222649	0.045844903	0.212811291	0.068369601	0.093622748	0.13356614	0.200706627
14th#a	0.070650222	0.062961464	0.139161185	0.138514956	0.13780026	0.189092368	0.119890427	0.141929118
15#n	0.141573941	0.110871872	0.133966166	0.114719874	0.119731603	0.141042039	0.089398783	0.148695722
150th#a	0	0	0.684236336	0	0	0	0	0.315763664
