Lemma#PoS	AFRAID	AMUSED	ANGRY	ANNOYED	DONT_CARE	HAPPY	INSPIRED	SAD
0#n	0.145779738	0.10521065	0.09318875	0.087191154	0.14792921	0.241456766	0.072279546	0.106964185
1#n	0.124833439	0.110931569	0.125125121	0.125845801	0.135164101	0.148976809	0.106190732	0.122932429
10#n	0.1460547	0.111909702	0.12702788	0.119340305	0.124677354	0.137089924	0.106696718	0.127203417
100#n	0.168084647	0.122276776	0.10824576	0.097552755	0.113902706	0.118212597	0.10245176	0.169273
1000#n	0.150314468	0.150107384	0.079139986	0.081142688	0.063443864	0.142543026	0.112095492	0.22121309
10000#n	0.094746989	0.16771198	0.012183438	0.004187882	0.592170875	0.047630195	0.010120716	0.071247924
1000th#a	0	0.314733751	0	0	0	0.442881757	0.242384492	0
100th#a	0.295377087	0.126771389	0.111914326	0.086830432	0.029497767	0.129561989	0.154485971	0.065561039
101st#a	0	0	0	0	0	1	0	0
10th#a	0.079755621	0.0635851	0.129627676	0.123592088	0.130683997	0.192395435	0.096741243	0.18361884
11#n	0.176554869	0.098099482	0.119444541	0.10909082	0.118131676	0.131649004	0.089848083	0.157181525
110th#a	0	0	0	0	0.839893712	0.115535827	0	0.044570461
115th#a	0.098867643	0.042445516	0.078700969	0.033815508	0.08756288	0.550821803	0.032688375	0.075097306
11th#a	0.117299439	0.074408337	0.132020785	0.146849729	0.150376307	0.147689091	0.107497772	0.12385854
12#n	0.128237033	0.108143721	0.132628901	0.140178032	0.123952266	0.137278425	0.098808285	0.130773338
120#n	0.165822397	0.057320617	0.116459028	0.138909896	0.092171645	0.132268099	0.098172908	0.198875409
120th#a	0	0.589009537	0	0	0	0.184185324	0.22680514	0
12th#a	0.077548181	0.092666691	0.116355629	0.217383792	0.131572777	0.154189044	0.103189394	0.107094492
13#n	0.119212142	0.109302955	0.147753143	0.140784293	0.124376084	0.135996316	0.090653215	0.131921851
13th#a	0.125310396	0.108865194	0.062922428	0.165342759	0.17085627	0.160802843	0.103383305	0.102516803
14#n	0.117523982	0.110043515	0.126330182	0.127320219	0.137177659	0.143678665	0.095314365	0.142611412
144#n	0.282256357	0.020360769	0.088121092	0.201251391	0.090839224	0.095993575	0.093356938	0.127820655
14th#a	0.06078546	0.068420984	0.147457386	0.143826825	0.154848459	0.168475697	0.114847081	0.141338109
15#n	0.149155525	0.10329936	0.1351187	0.12016834	0.117362047	0.137045513	0.091832798	0.146017718
150th#a	0	0	0.680279267	0	0	0	0	0.319720733
15th#a	0.076363057	0.106666889	0.174316137	0.153169227	0.142409158	0.150546625	0.124190654	0.072338252
16#n	0.12993221	0.118594855	0.133069568	0.123697986	0.146398311	0.138590201	0.084975602	0.124741267
16th#a	0.081765734	0.147959464	0.097366465	0.168645721	0.122469057	0.163386162	0.103199075	0.115208322
17#n	0.135974201	0.11383345	0.156451082	0.112074392	0.106259087	0.150816558	0.087587618	0.137003613
1728#n	0.100984024	0	0.093783579	0	0.208686753	0.234987461	0.233716297	0.127841886
17th#a	0.053672215	0.080922436	0.060712904	0.154718865	0.192975327	0.167928782	0.116778188	0.172291282
18#n	0.116254463	0.111901629	0.125983657	0.112042895	0.125969109	0.148365044	0.1088488	0.150634404
1820s#n	0	0	0	0	0	1	0	0
1840s#n	0	0	0	0	0.547029669	0.248756958	0.204213373	0
1850s#n	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125
1860s#n	0	1	0	0	0	0	0	0
1870s#n	0.217103342	0.026428559	0.208339085	0.119494367	0.200826539	0.058270308	0	0.169537799
1880s#n	0	0.185649297	0.013119296	0.078917573	0.029192993	0.136019041	0.557101799	0
1890s#n	0	0	0	0	0.460724833	0.205403419	0.333871748	0
18th#a	0.120070739	0.131752833	0.080933271	0.121910908	0.133216977	0.163899696	0.112568958	0.135646618
19#n	0.127038149	0.103453222	0.135028593	0.124403563	0.123887795	0.144543751	0.089718183	0.151926743
1900s#n	0.021513735	0.160310176	0.091336116	0.022044318	0.009746742	0.265524436	0.319628956	0.10989552
1920s#n	0.024164481	0.32007807	0.032136298	0.135341123	0.176038966	0.110285492	0.169489606	0.032465964
1930s#n	0.169250987	0.112137414	0.201412739	0.117704644	0.054297374	0.114905795	0.120399293	0.109891754
1940s#n	0.07096817	0.155186964	0.101705298	0.082648078	0.24524861	0.111189309	0.134263331	0.098790239
1950s#n	0.067940436	0.220316694	0.040413003	0.06985397	0.17733084	0.079640435	0.172469509	0.172035115
1960s#n	0.051791623	0.182833757	0.127959114	0.106557805	0.14168241	0.088461492	0.131005552	0.169708248
1970s#n	0.130916303	0.106933365	0.146687212	0.115371471	0.083269513	0.109611724	0.136814833	0.170395579
1980s#n	0.044381285	0.154687385	0.147530888	0.127256963	0.137203928	0.092297404	0.140866311	0.155775837
1990s#n	0.130710477	0.118508439	0.118571426	0.092410588	0.133263623	0.117882419	0.122310965	0.166342063
19th#a	0.069058186	0.194566478	0.072536974	0.078413927	0.149414605	0.150208464	0.152676613	0.133124752
1st#a	0.078808631	0.109019196	0.116003422	0.164420997	0.156511827	0.159066716	0.123375993	0.092793219
2#n	0.133992774	0.106163833	0.140404034	0.116199976	0.1305551	0.142005167	0.101057044	0.129622072
20#n	0.133382052	0.118820901	0.135041959	0.109382328	0.1219506	0.133006194	0.091422451	0.156993516
200th#a	0	0	0	0	0.795722831	0.058991937	0.145285232	0
20th#a	0.128090143	0.165340694	0.05918072	0.089322247	0.145445663	0.137403866	0.136216608	0.139000059
